,Final_Portfolio_Value
549,1.0716511056316473
550,1.2148263462190554
551,0.8503410437979018
552,0.739466010340867
553,0.9472143746783065
554,1.1547908858777376
555,0.9745907554163011
556,0.813278509858202
557,1.4401828556854401
558,0.8461753753698996
559,0.9751340457506678
560,1.2136646230641854
561,1.2426000974944071
562,0.8225034015341491
563,1.3238961003114706
564,1.3672546731459347
565,1.4699235921871885
566,0.9886379982517243
567,1.4748399521474373
568,1.0049650586596246
569,0.7684214180869663
570,1.2140881969911705
571,1.4688663712819912
572,0.9530762014696436
573,1.5981550912367217
574,1.2858913751575372
575,1.7561837156679896
576,1.3738736957081705
577,0.9262436958390252
578,0.8486562983870414
579,0.9354565435521808
580,1.3119610845007883
581,1.074708355775229
582,1.6584213502245255
583,1.059929136640952
584,1.0430658587082804
585,0.8996046872370215
586,0.9689314611161726
587,1.0100684397814317
588,1.3725255031136867
589,1.1094736004478645
590,1.4529221301805877
591,1.6321597020854628
592,0.9644803189511774
593,0.799156043734569
594,1.2378712803781546
595,1.2136503352701193
596,1.281352469370593
597,2.4173793392722254
598,1.0605514738409834
599,1.5207193013479154
600,1.125259156482657
601,1.2912355980862862
602,1.2042866081048367
603,1.48343338320508
604,1.08862881502174
605,0.935693502727804
606,1.1808579578379617
607,1.0767189222671538
608,1.2767741509882
609,1.3110800146417574
610,0.9556067477290529
611,1.3429893680343543
612,1.3413530011679187
613,0.9881523828810553
614,1.1279451810078536
615,1.0725149648239034
616,0.8175736338086114
617,1.2562707022598516
618,1.1665905282695668
619,0.8380830120080376
620,1.2240073587531832
621,1.039973062519341
622,0.8832315615480363
623,0.9072784728850226
624,1.5084406796009315
625,1.0613479185772783
626,1.0035526648242894
627,1.322459273298431
628,0.9996833072325592
629,1.5302129757019112
630,1.514367075853782
631,1.1735465169479988
632,0.8704364768323959
633,1.1385535830398799
634,1.0811422629980663
635,0.7786577466046217
636,1.516791177962323
637,1.279551733934178
638,1.5076477869565696
639,0.9235955640299808
640,1.0217923711346923
641,0.761941374218182
642,1.4679973278434013
643,1.3182438513086412
644,0.9957746818674802
645,1.377888525864003
646,1.3517678394626214
647,1.3171371855989096
648,1.3902953061968015
649,0.9276377139125394
650,0.9092981462764995
651,0.7378743461812756
652,1.2512866763905555
653,1.2137945266663908
654,1.5515520632587487
655,0.8306829476666485
656,1.423494697750364
657,1.04096751644391
658,1.4429342370933262
659,1.3910683408281825
660,1.4722473062299104
661,1.004271319916523
662,1.3795223310072944
663,1.0016904320236344
664,0.9416979745042132
665,1.6182655579496577
666,1.1784579494620333
667,0.911023869699141
668,0.8906302006659681
669,1.1414267648100334
670,1.034044740106852
671,0.9850330041021734
672,0.7492138996470871
673,1.3062494133583413
674,0.8128962125690831
675,0.9001434271698118
676,0.9423382634635072
677,1.278092209316589
678,1.412417807874096
679,1.0222875898026933
680,0.6668062812571339
681,0.9880788353817903
682,1.0352887456090432
683,0.8467969105161224
684,1.0841749384345905
685,1.2586511884531142
686,1.2072581668201643
687,1.382184046744765
688,1.2279289003945395
689,1.408067641872502
690,1.0587903197207758
691,0.9862069243966469
692,0.7206188717301676
693,0.7800020621841173
694,1.0245525305238463
695,1.4621269274577897
696,1.187034101583455
697,0.795439101196242
698,1.3562971717662164
699,1.4744542610891924
700,1.3713467301345357
701,1.145582300113587
702,1.341491464165322
703,1.2302714641887662
704,1.1491839305178704
705,1.2597052018428152
706,1.0921285151105344
707,1.0279657565540161
708,1.468965929081196
709,1.1984960775276714
710,1.4989654021554046
711,1.2598629597600153
712,1.936605105153389
713,0.8042485109936367
714,1.4000544349143562
715,0.9516238073014607
716,1.5881136414384676
717,1.1969102470617654
718,1.2840030009480763
719,1.0930189749739576
720,0.9685343388832505
721,0.9968241165133536
722,1.3037771075330755
723,1.0525791796553134
724,1.9401718824837493
725,0.9482557438487912
726,1.49003079421686
727,1.548768571782561
728,1.2824839685920904
729,1.1433269172962786
730,1.2224904403101864
731,1.0949106440616405
732,1.5277882318242173
733,1.1904101731100067
734,1.035398499235727
735,1.2723505634940893
736,1.0223956788705268
737,1.1641480401196227
738,1.3651087070193235
739,1.7137363352677129
740,0.6791811442503075
741,0.9761324541692445
742,1.0561914686286296
743,0.9895692856065916
744,0.7509236131482138
745,0.919219603022636
746,1.1516057995374651
747,0.5689132134407331
748,1.1825179070867438
749,1.1604242324041896
750,0.9097984692222039
751,0.6812094507680162
752,1.8095093703209533
753,1.2977339883257775
754,1.4908226310128239
755,1.8478838199825889
756,0.9595623430318587
757,1.419258282313655
758,1.5935860300854876
759,1.0990187197303651
760,0.8088075358351454
761,1.0053470545850354
762,1.3112252030208054
763,1.3277338630590965
764,1.4450291237584845
765,0.9078252835892566
766,1.283128024215525
767,1.1888150642444948
768,1.0882138273522042
769,1.427722403673869
770,1.0994154497214341
771,1.0918334032671626
772,1.698478305875125
773,1.097428977702112
774,1.3086878186682431
775,0.7544565761794547
776,0.9055898101566802
777,1.199004363813003
778,1.023602395967796
779,1.1534299917867117
780,1.3962732556731876
781,1.4780054661728017
782,1.3126275006075139
783,1.187774233587242
784,1.1702655739818606
785,0.9781486052645151
786,0.6945097678084857
787,1.3699628381348765
788,1.043573239358968
789,1.232543856156275
790,1.4223093314448838
791,0.8122261296280684
792,0.9162205579346316
793,1.2508713030386518
794,1.1277507372913549
795,0.9296123723127176
796,1.2652218335938743
797,1.3682687557086701
798,1.148108226186842
799,0.8741108609860344
800,0.6980203314916754
801,1.201551284978664
802,1.4214550603790217
803,0.8587155070285092
804,1.242099400549301
805,1.40709052580595
806,0.9153762201212159
807,1.180778691387955
808,1.02833975910472
809,1.0560683494336123
810,1.7323979071662106
811,1.2599478782805342
812,1.2953129626976267
813,2.217944710136676
814,0.850808482186726
815,0.6468135412969482
816,1.1530376774469937
817,1.0621506782256638
818,0.9725676577521417
819,0.988929667424869
820,1.2770111845183938
821,1.2038597020866069
822,0.9844328090730204
823,1.5252846009228693
824,1.2632379292290934
825,1.1633997412151151
826,1.0835515482563902
827,1.5134905844653401
828,1.4423760514362935
829,1.0852900416954094
830,1.250002099836937
831,0.8697129331400959
832,1.1688566408212646
833,1.4283062958296617
834,1.1889346989796086
835,1.2333145897921969
836,0.7780758061371239
837,1.3067936175900052
838,0.6402430472564041
839,1.0929794250251141
840,1.0888922707174928
841,1.5736683112322492
842,1.4281597224977483
843,1.3461173580225605
844,0.9874401575733903
845,1.1465261004316192
846,1.3130425791057165
847,2.02870701260306
848,1.2477800527926293
849,1.3096766344402904
850,1.2038733745578216
851,0.9557650867246176
852,1.3986035079493249
853,1.148783100399243
854,1.048805420317659
855,1.7083229918499978
856,1.2737015636775617
857,1.1425189762835364
858,1.5596355098744425
859,0.8810265276992879
860,1.337425731348527
861,1.6904882345904841
862,1.151909852346743
863,0.9246523509687464
864,1.3349698966281518
865,1.27737561699206
866,0.8482033319941978
867,0.7459300409778373
868,1.2696787792972393
869,1.2827525889171236
870,1.6972065886786527
871,0.5913750427598425
872,1.1020667859566842
873,1.5195394261101716
874,1.3826406463473444
875,1.035013610309943
876,1.1082398488303664
877,1.3066086613734686
878,1.1162761964432233
879,1.1079810210011398
880,1.4461263790824856
881,1.0074289517829143
882,1.2224547593701867
883,0.8642791286365212
884,1.3148153065890413
885,1.0308971776646114
886,1.229825801503187
887,1.0040253740285376
888,1.0580132417964467
889,1.033948616003437
890,0.8141812862158943
891,1.0419573198597472
892,1.375169712384954
893,0.9553774508838991
894,1.0309552468587742
895,0.9350296232005879
896,1.0570279801163007
897,1.0338600957232975
898,1.3956278366817159
899,1.3526955350257504
900,1.7492502376247165
901,1.0062952236310267
902,1.3979006491542911
903,1.6096358412918288
904,1.220825601669309
905,1.3294469199223107
906,1.0522276127843972
907,0.9319368585199796
908,1.084187676613746
909,1.3306162958018362
910,0.8355233025801063
911,1.1746307533550013
912,1.2663480198299224
913,1.4874168873066924
914,0.9571514330478782
915,1.1966276121824946
916,0.7237085737887119
917,0.8741466041445608
918,1.026162784493669
919,1.0863598749843482
920,1.2150810789218194
921,1.239347009691195
922,1.0581481239802735
923,1.069168469267818
924,0.8969526390853378
925,1.3212550503277918
926,0.7475114715440435
927,1.2697586900537032
928,0.8262613762862642
929,0.8562652847880639
930,0.7316066973391987
931,1.0602731649688817
932,0.5938884940094914
933,1.0860624972646087
934,1.245770702832095
935,1.2179775112044526
936,1.323480228211042
937,0.9583247256572631
938,1.3344940371932112
939,1.0034501252817707
940,1.1288174704646365
941,1.0355167651140227
942,1.6575801260712775
943,0.9753989624254047
944,0.8931368130881676
945,1.4516988266471484
946,1.413435068402106
947,0.8428541448408445
948,0.944026682936872
949,1.1272015544198057
950,1.309159563700617
951,1.4584559267886936
952,2.015893894062928
953,1.5486271817883632
954,1.0280915522436835
955,0.8991411574605959
956,0.8790533692681275
957,1.0468013825489693
958,1.6506469456807746
959,0.9898671945436276
960,1.2624556895783745
961,1.4431211730509312
962,0.9327778686679826
963,1.3508776272816698
964,1.1479685350149091
965,1.3826268699259934
966,1.1973801430172846
967,0.8716891615380504
968,1.5326452607044954
